doc_type,ocr_text
advertisement,"otr 
De Protest Model 
NIAGARA 
Introducing NIAGARA , the first 
low ' tar'cigarette that gives you full 
menthol refreshment . 
haven't Until offered today , low a full "" tar , refreshing cigarettes simply taste got made through sure . that By creating the menthol a new 
menthol taste because as their filters "" selective filter , unlike any ordinary 
1 cut menthol down flavor the "" lar . , they also cut down filter the menthol you've ever taste seen through , it actually while it lets 
C fuller than We But any measure , didn't now other there's add of low menthol more tar NIAGARA "" brand menthol refreshment . , With . We a fitters ette refreshment NIAGARA that "" tar gives . : as The you a high first as much tar low brand tar entho cigar- . ! IVS 
QUALITY MOTICE THAN THIS IF OF THE NOTICE THE FIL SONT . IT IMAGE IS Brits er IS LESS TO THE CLEAR 68604 1 2 3 6 
"
advertisement,"The pleasure 
MECH is back . 
POP 
, 
31 
MARCH 
BARCLAY 
BARCLAY 
99 % tar free . 
Warning That Cigarette : The Smoking Surgeon Is - General Dangerous Has to Your Determined Health . Kings and 100's Box av . , , per 3 1 mg mg ciga 
"
advertisement,"Raleigh Introducing Extra Milds 
mild lowered natural tar flavor . 
CIGARETTES 70 C1452 
A 
14 mg . tar 
30 10 mg . nicotine 
EXTRA 
MILDS 
RALEIGH 
RALEIGH New Filter B fast like Duchin & W for this Raleigh Kings coupons valuable table sterling and Extra . lighter These Longs silver gifts Milds . in coupons offering joins Raleigh add free up 
For Gift over write Louisville your Catalog 1000 : Box free , gifts Ky 12 showing , . , 40201 . 
COMM 
Warning That Cigarette : The Smoking Surgeon Is General Dangerous Has to Determined Your Health . Mmg te Kos 1,3mg 1.0 16 mg fictine mg nicotine , av 1.2 . per , a mg per garene nceted ogarette . FTC Longt , by Feport FIC 18 mg Sept. "" tw 73 d "" 
Sports Illustrated 4th Cover January 28 , 1974 
"
advertisement,"tasapa 
- 
! 
WORY 
Filter 
Longs Filter 
Kings 
RALEIGH 
72 
Spend a milder moment -In ) 
RALEIGH 
CATING WRES 
And discover with really On center target Raleigh satisfying focus ! These Bushnell 7 - tobacco power Binoculars . 35mm taste . Raleigh Mild Introducing natural Extra flavor Milds 
bring 345 at everything 1000 yards closer . Yours . Field with : Lowered tar 
carrying every coupons pack , case the of valuable for Raleigh free . B extra & W on Warning That Cigarette : The Smoking Surgeon is General Dangerous Has to Determined Your Health . 
To see over 1000 gifts , write 
for Box your 12. free Louisville Gift Catalog . Ky , 40201 : . Extra mesto May 1.1.3 : Fiber Kings mg nootre , 15 1.0 m ... mg par nicotine 1.2 operette mg , ar.per nicoone . FIC ciparate Resort Long Sept. , by 13 FTC m 73 
Family Handyman March 1974 
4th Cover 
"
advertisement,"Ix 
( 1 
) 
Filter 
Longs Filter 
Kings 
RALEIGH 
Oure 
In 
Life 
Spend a milder moment RALEIGH 
And discover with really Raleigh satisfying tobacco . taste . Raleigh Introducing Extra Milds 
Double - duty Cooler . This 2 - gallon Mild natural flavor 
Igloo cold Polyurethane for free , Jug is sturdy B & keeps W coupons insulation enough refreshments , the to . Yours sit valuable on . Warning . The Surgeon Lowered General tar Hos Determined MON 
extra on every pack of Raleigh . That Cigarem Smoking ts Dangerous to Your Health 
To see over 1000 gifts , write 
for Box your 12. Louisville free Gift Catalog , KY 40201 : . For 1.1.xpect 35 Young : 1.1 . , Lys . V . 
Ad PST Page Generic BROWN No. , KEYES & 01--010 / color Magazines WILLIAMSON GARDNER ( ell R - 1974 MG INC TOBACCO Ad - 73-28 ) . CORP . publication's the General's advertisement when Please tar there & caution nicotine warning is printing . free Special your - content must standing printer material attention not copy be that black , removed the and when must type copyright the be making Surgeon from en taken while the line your , 
backgrounds . 
"
advertisement,"L 
R 
Taste it all 
in Viceroy . AOW2 
smoking for . That's Get a taste Viceroy of excitement Full flavor . that A taste comes worth on O VICEROY 
rich and smooth Taste from what start smoking's to finish all . Viceroy about . . VICEROY EROY 
Warning The Surges Gal Has Determine : King Size . Long Size . 
that Egrette Smoky Custo Kings Longs , , 15 17mg mg ta . "" 1.Ing 1.2 mg nicctine ricctine , av . per cigarette , FTC Report See 73 
TINE PACIFIC 
March 4 , 174 / Paze 
"
advertisement,"You don't have a 
to be elected President 
to live like one 
Win $ 16,000 in the Kent & True Presidential Sweepstakes ! 
Or any one of 5,125 other prizes ! 
C KENT TRUE 
AN AZE 
KENT 6N 321 
10 
TRUE . 
First Prize 
The each President's year for 4 weekly years- salary $ 16,000 , $ 4,000 in all , ! 
5 Second Prizes 20 Third Prizes 100 Fourth Prizes 5.000 Fith Prizos 
P C INFO WAR'S L Conf For La 
Lang S 
ww 
S 
HAM Falevy 
57 
No purchase necessary . Enter Kent & True's 
Presidential Sweepstakes as chen as you like . Look for 
the display next time you buy Kert or frue . 
Entry blanks and details at participating dealers . 
sơngan naman a 
· congella score Rating The Suges General Mas Ceremi 
22 That Can Sings Dangers to our 
03079140 
Capp No. 7113 - L31 - PCB - Magnes - Ful , 117 ) 
Pried in USA VIC73476 6137138 
POTS COMPLE 
VALL FOR REPRODUCTION 
Hear 
"
advertisement,"[ 
T 
[ 
[ 
I 
1 55 
1 
1 
1 
{ Filvasn't for Winston , 
{ I wouldn't smoke . 
1 
Į inston 
1 I smoke Taste for isn't pleasure everything . That's . It's spelled the only T - thing A - S - T . - E . 
03280862 
{ That means All Winston Winston . Winston will ever won't give me give is you taste a new image . 
{ isn't hat's anything very real Winston . Ifagatétte cigarette is for isn'treal re 
{ Warning The Surgeon General Has Determined mg "" ta : 13 mg nicotina sv . 
That Cigarette Smoking Is Dangerous to Your Health . per ciparece , FTC Report 
OCT.74 . 
"
advertisement,". 
... 
mg 
"" 
. 
week 
700 
losing 
taste 
first 
lost 
on 
I 
the 
1975 
out 
without 
tar 
How 
"" 
of 
BC 
THE 
Lone 
DIFFERENCE 
1974 
COMPARE 
DORAL 
CERU 
DORAL 
1973 
no 
Accept 03367231 
imitations 
# 
1972 
"
advertisement,"-35 
27 
Y 
Warning That "" B Cigarette "" : The Smoking Surgeon Is General Dangerous Has to Determined Your Health f SOFT av Corpettive . per PACK cigarette brand 100's by tar FILTER FTC levels - method , reflect MENTHOL . the lower : 2 mg of either . "" ta "" FTC .0.2 method mg , nicotine or Dec. FTC 
63 
265 
FERRARI TRUE , 
7mg er 100 
MERIT Ultra Lights 100's 
split FINE TOBACCos 
5mg POPOLNA OPHUP MOS OPREOPENZE G. POSONG VA 21 MADE USA E 
PENSIO 
KENT III DELUNĖ JOOS , 
FOTITO 
4mg 
TRIUMPH.FLTER 
100s 
4mg Stathel www 
Carlton 100's 
4mg Cambridge OFILE FOR CLASS FETOBACCOS CROMONOVA AP UTRA FOR CIGARETTES LOW ZEH TAR MADE MUSA 100's down Step 
3mg to the 
lowest 
NOW 100's . 03542721 
100 % 
NOW 
300s CONFIRMED LATEST The Lowest 
Ladies 2mg dame . Journal , Ang .. ! The lowest in tar REG of all brands . 
"
advertisement,"NU WITHDRAWAL - LIFE SMOKER'S PROGRAM 
DISPOSABLE 
USE ONE A DAY , THEN THROW AWAY ( 44 day supply ) 
STOPA 96 Porn % 
POKELE 
ACKING 4 - STERS 
PROGRAM 
FOR PEGI 
ORSKELE 
STOP 
COUNTER DISPLAY OPUS SMOKING 1354 KIT 
GARETTEN 
andsins 
QUIT HIT 
ZAVIRA 
SHOORNS 
QUIT 
NULIFE 
USE ORDER 
FORM OTHER ON SIDE 
03592727 
EXHIDIT D 
"
advertisement,"WARNING 
Marlboro 
HEALTH 
GOVERNMENT 
A 
CARRILS 
ACKET 
GROUTINERY 
MIDDLETAR 
TO 
LOW 
BUCO mu 
Come 
TO9LTACO 
"
advertisement,"THE WAY SOME PEOPLE 
TALK , 
EAT , 
DRINK , 
SMOKE , 
SNORE , 
STARE , 
DRESS , 
PUSH , 
WHISTLE , 
SING , 
KISS 
IS ANNOYING . 
03766663 
WE NEED MORE COURTESY . 
( WARNING BOX ) For THE a TOBACCO "" Guide INSTITUTE to Smoking · Courtary Etiquette "" vrite : 
1776 K St. , N.W. , Washington , DC 20006 
"
advertisement,"Page 42 
( 
04102584 
LO USA 1983 
That Warning Cigarette : The Smoking Surgeon is General Dangerous Has to Your Determined Health Exceptional A from taste the that crowd taste stands 1985 You in . Taste an apart found ultra it . low tar it . . True . 
King size : sm 
"
advertisement,"IMAGE 
NOT 
AVAILABLE 
ONLINE 
The material referenced in the associated 
index listing is available in the Minnesota 
Tobacco Document Depository . Please 
see this website's home page for additional 
information regarding the Depository . 
"
advertisement,"IMAGE 
NOT 
AVAILABLE 
ONLINE 
The material referenced in the associated 
index listing is available in the Minnesota 
Tobacco Document Depository . Please 
see this website's home page for additional 
information regarding the Depository . 
"
advertisement,"IMAGE 
NOT 
AVAILABLE 
ONLINE 
The material referenced in the associated 
index listing is available in the Minnesota 
Tobacco Document Depository . Please 
see this website's home page for additional 
information regarding the Depository . 
"
advertisement,"IMAGE 
NOT 
AVAILABLE 
ONLINE 
The material referenced in the associated 
index listing is available in the Minnesota 
Tobacco Document Depository . Please 
see this website's home page for additional 
information regarding the Depository . 
"
advertisement,". 
It 
, 
. 
"" 
. 
you 
new new 
oight 
ak 
to 
major 
public Sports a 
. 
various 
, 
a tobacco 
most 
the 
holding 
ار 
some 
for 
answering 
bolore 
of Answers F641465 
the questio Hallo 
TECHNIC 
and 
to cigarettes 
about 
me 
cigarettes Report 
Poopla 
, 
sond 
sides 
up 
important 
soo things will 
introduce to SIDES 
considor about 
: mind 
you 
World 
: to 
both 
you 
you 
& 
will 
throo speak SIDES 
magazinos Institute 
spocifically 
. 
open 
to 
Newswook 
. 
Jr. 
about ask readers lolling 
, 
what 
Nows , 
an 
cigarettes Wolgh 
in 
readers questions 
vlow 
of announcement 
"" 
those - TAKE 
soothom 
. 
will 
message 
of 
: 
Institute 
goarod 
in to 
again Tobacco 
U.S. 
ask 
invite this 
keep 
way 
We 
the Flatfy 
It's 
about asked 
urge 
customers BOTH 
March family 
Chilcola 
. 
to 
The 
and 
, 
likely points 
once 
, our 
its 
D. 
YOU 
. 
with make , 
discussion appear 
and most 
1982. is 
Tobacco 
to 
new 
and 
the 
will lobacco 
Guido adults readers 
program 
proud 
The 
begin 
questions 
Saal 
to 
Sincerely 
Samuel Prosidont 
, 
groaler TV 
advertisements the 
cigarellos some 
questions 
, are 
advertisements family 
will 
. 
of February 
WEIGH 
of 
advertisements 
the 
throughout 
we 
delighted 
in 
words ; and 
asked 
the 
-asking 
TIME 
American 
, the "" , 
advertisement 
Answers 
nood 
sorios BEFORE 
advertising are 
"" seeing 
, 
And 
tobacco 
in involving 
. 
ton 
those 
be 
sidos 
This 
Advertisements First Socond Third We 
The appear 
members 
of 
the 
asked 
you 
commonly booklet 
With national Issuos will Illustrated publications out tako Issuos Information the soon to for 
most 
the 
to 
"" 
? 
d 
Answers 
ASKED 
2.MAY 
undayag 
- 
benad 
YOU 
MANY 
CIGARETTES 
HOW HAVE 
ABOUT 
QUESTIONS 
"" 
0919992000 
"
advertisement,"If 
you 
like 
things 
you'll 
like 
neat 
Parliament 
and 
clean 
weeps 
7 extra 
byes 
neat 
incir 
you 
, cargos 
the 
clean 
aray 
an 
fifter 
arliament 
***** 
1002760142 
"
advertisement,"Norman 17 RADIO , 1944 Marlboro 
Plum for Porter 
er sted Washington ariety ear le rue anal as Dutes blicity served - a old to ) m's last in Committee CBS prepare of before Kretuckian head chief der New as cases from the the material of er Fol De of legal . ( Columbia Only 1937 mainly President in the Peleral stray jonThese te Tur representative by once to Democratic and lis liome pamet frors 1942. Broadcasting extents Communica Rove's has the held the applare 11 cult foll Na p in al a The Coperto 
Commen 
ated Spetto Last Porter week Il he to Predientel wil be fald By te a member ( NewYWELL chamas notch of the , SN FCC . 
[ Dealer lourse 3 ) . Although than be Fly less nobres , rate the greial andres 2 Here New wi 
D 
Those Men From Mars 
The Well's Welles neale ne housands ittaenry men ter loped heart It Nov. 11 started Worble an Stars of attack fest electric Imaginative , by 12. radio that the , hysterical An were "" at . er Leucast story the - In hat 9.30 oumpany CRS for dramatization Santiago earth's panke from corned marl pm the in and . frs He - . 1935 Wales , emplenarend striclon talie , All fire g Chilean Valparais "" changed The deeds to er minute . War pil + Pin 11. time s ( Our were 3de Mem the G o , EMAIN KONG 3 KEEN Man moking the cheide ) IVORY SEAUTY ( rod ENDS TIPS ) TIPS 
Jersey and threely and goal scand deal the of sights the rest of 
he actor er country , , Wellre writer . , had But and a Na matinal 1 gry tratam R a 
Tuals Real American William ea Esbiently talks for Zestonearthe The the Steele in imagination Shadowice Santiags rali's Chiran , free program Sirele is love stneg web , , aided come the , in tos writing Pale l , Inven 3 The by 
Welles the Ingel blog nd the artillery , 13 over , he the miles civic the armal pictol bureabs with center sales fons of station to station "" Nous detectal Santung , or Restors lume , Late de "" MARLBO ARETTES 
the Now there Suring and watel al lite e grant During efficial femaleut perss , in jungle netkastolen , was the the Can und cated had the step least per warning listened persons given mee was plic Zentro with the , inch taken ample Lust led with Congredive relaps and , Whem warming sympis in the Strele fon loch the Will's the Tar truck atm . als that V That te , Cigarette Tur of Youss ful men and lovely 
1002760767 
APUNWTFX 
P. 16 : November 27 , 1944 
"
advertisement,"LEO BURNETT COMPANY , Inc. 
Ad No. 420 - Reg . No. 65826-2 Colors - Red and Blu- % x 3 % -Baseball Score Card , 1937 . 
Marlboro 
You get a 
lot to like .. 
FILTER 
FLAVOR 
FLIP TOP BOX 
1002761222 
wyjngnifi 
"
advertisement,"seles 170 NETT COMPANY , I 
Marlboro 44 "" Bers 
You get 
a lot to 
like 
-filter 
-flavor 
-flip - top box 
# TOP200 
- Marlborn Laste llere's of old - fashioned tobacon evenee flavor in the new way to smoke 
1002761265 
PAR MAAIL MA Fig right Tin This in your Love mouth very ( Works rarelle ENFEM full for through fires but and diven't Seth fresh are until drawing in the you way filter . dis Malern Mansine feria 
DE 
"
advertisement,"1002762235 
B & B 
"
advertisement,"( FRESH SCENT 
SPRAY 
DISINFECTANT 
Lysol 
ELIMINATES 
ODORS 
Kills 
Household Germs 
PREVENTS MOLO 
AND MILDEW 
240 
Instant 
Air Conditioner 
Maybe you never thought of a room deo 1002916715 
than of dorizer the the air cover . air Leaves this . Actually up way odors it . fresh But changes . Lysol It , odor takes Spray - the free them condition . does right more out of 
And because it's Lysol , it kills germs on 
surfaces able odors . What - germs all ordinary over that the can house room make - deodorizer everybody germs that can miser cause do 
all this ? Come to think of it , what ordinary 
air conditioner can ? 
"
advertisement,"168 
SIGNIFICANT CLINICAL RESULTS 
IN A SERIES OF SMOKING TESTS 
FACTS FROM ... Laryngoscope . Feb. 1935 
Vol . XLV.No.2 , 119-151 
( 1 ) At the beginning of the experiment , 73.7 % of 
the cases showed a congested condition of the 
pharynx and larynx due to smoking . 
( 2 ) On changing to Philip Morris , 62.3 % of the 
cases cleared . The other 37.7 % showed consider 
able improvement . 
( 3 ) On changing back to cigarettes made by the 
ordinary method , 80 % showed a return of con 
gestion within one week ! 
1003071250 
REPRINTS of published studies on the irritant 
properties Philip Morris of & cigarettes Co. Ltd. Inc. are , 119 available Fifth Ave. . Address , N.Y. 
12-76 
"
advertisement,"Come to where 
the coolness is ! KOOL 
KOOL 
Milds 
Septy 
KOOL 
SUPER 
UGHTS 
Coolest the around Up 
taste 
cmon 1004885382 
Warming That Cigar . The Secking Surgeon is General Cangerous Mas to Cerested Your Health 
H 
"
advertisement,"SMOKING CAN 
DESTROY YOUR LUNGS 
Stop Then Please - Smoking cut out the Month above campaign illustration . Présented andruse it as in a your Service surgery to Public as pift Health of the by Ledeile the ma 
ALL ROUND ANTIBIOTIC ACTION AGAINST RESPIRATORYATRACT INFECTIONS 
LEDERLE LABORATORIES Atida aur tous Station ol , Cyanamid Adrowtockton wo Gigd . By - WAGNS 
"
advertisement,"Mark Millionairee er er fact They're are and more even people than Neway Are enly och would possible making If Do 4 HAN that te even That years than Achieve 168 These 10 sae اما you You 20 We We harder reat Not and Lols tem We these really second were ! Lipe working be lato foto desperate , i hours hours mbled to are BE paid my yo gets $ . was ago Smerter 100 were groceries physically 10 aber Fot ar coach 10 aver questions for eral There and la not borrow than Lati father we off tlacidently dobe real wed Things more . ead to a just stump , $ umes in know Lois corper 100 Colereda from could er frem chud week 335 days expect Sleco thoussed the lows Falls broke any . If tha you then er 10 a cotate orate ar svamped . , . then by work and from cramped and our a we harder ! and to Stret $ $ that tocome We used ) emarter which Ames or . . High m i and 110 10 to are my have told man I sa detare We and ved We what what , wile markable the , eacher were , had w forced la church forced buy an pay et learned much The Haroldsen . lez and b tax LOODGAY W than had dollars retired who ro stayed in Sattlegt my he from worked High with ed rich See on didn't we raging the than lel But the a . . acting free Deginning dabo By By and had different shows The you all had Total alla our from debes and Loca Wy the the the how and School you and home work of one , ed methods to real And me real Ad recently as When I'm the work Beverage saver pryshim spectively the time where Bonaires bvod the time so $ remarkable clay and 100.000 a course even when e opw with sure estate with Deaver . income counslor ( 40 We average located same tata way very we ccmlerably hours . are show vs 10 that earned we bore the my to Mark Low i way began was in Very bad was could boldings times met that thing amating little that . from Have from Caverage the family eldorty we , in guy your from to did they Six to was Financial been whor over to work to grow take and long Arpadly are we I've beness the story apply acouraged income question by Twia bar fact who . years realies urity not sochings lady I met so or hot dowp made people We part lorants Lols id rich Fortree drug . is young my the store w and It ... We at , rapidly could 183 saber of that are who later As pela by of quiche bob NW then ea Haroldsen up things My and med years their 5t could leating had Then had ding Then t and So wie dhoora chot and Agured ( of language They their ( they By 100 perts 100s we improved do made results us This bey offor around , pete one improve he the est one way one property % We and lot what begao . had We being We had was ble but minds seat time cash realized per ● our Now per bedes , sat 8117,000 of for of day day with bebad how to to were was wate we est He this the able , beginning years year your to to essed this on him say time our but Want be you for a a had the had showed show eatline he out cold to the friend frie Freedom they to 83.000 ) is being in friend's bad se by , be 678 could complete formalce 25 saing thoir to so spead dose howed . to we copy andre aree of formule ay our eople could him the try approached cans down the lenger wasn't , the worked him and were nity abl . property cash back do eur the and and time more for fee abed really quarties droom him formula formula to point , . STESS Row begu how w to your straight chat . value re same 22 fuck the se going hard how ba do do Lad bow same could sbr.000 very Help years we that us be . HAS bow pochot baytag dael to pool all Out all that that FA to Here ware , with simple we we forure for lot t methods fo on be buy to When be was and Ira rid yes To we we had $ that had buy 20 the to spypes wow Ceahing very Anyono close old say and and proly is be is our of w that , dolog Quaranteed not Lave dea't com boot You and We het You at you we our yes the bed cty sead better It bare show their M mil You the the reason we we the lorpela sed friends ● re Yes , and on for need : To . , only as you Way a profit formularnost Comes , forma this can you Joris doem't of Buy and know your may of that . will will you Lime words you Con your words eu $ There Dern Racial you should Order you Can . 300 Put le address did $ . your send you you some time your est any any will do back 10.50 may ( we your E Bit y have in Deuble change send lacrosse laceme send . , We for Legy chock est our believed . for - formals up a You down We money benefits exactly live exactly $ very Day without our ng their i Allow are www Now knew who da't of coe kind be , 10,000 you become without every you will a . "" effort Borrow tay Dimberly staply as pocket Fatacial town selling Inderal up weak dosy rectly , efforts bega matter the you guarantee methods , rewing why be cheek your free and epare or easily asocial to Salt our munity and Toder or e woman lot bargalas markt werk st if care your all erdar proper Litle buy of proves your do week chat turches you you our back possible LARGA wile would , month new you mesick the Mark how cash in of vi gearnaty come our to po free we soceabed or old read El cabe or will ( cash or Well got order course any well ench was ata would as can were grat to done eur Maren found that slope ity find Mark pre formes will laws money we value oot we Freedem our in pay state you'll be that at worth say be Ot offers , rev them only now matcrial preta ed s to Besides simply ws and simply be rewarded . , , , that marriage H be , wa be by ) twind personal get of ent you sis you nothing but check cheer , ber order agte ; Seveso UAS Bidg Marokom but be any be , by and rou results results as as will paper expl to with gready because be your the and will Har H working back long long be let , and Share have beyond not 4117 wor 4711 great a sacie , from fro orstertite be write family name check as as , . CHIN to loc Hal Hel mone on th ap ages . our life 1977 . 
"
advertisement,"LUCKY 
STRIKE 
990627210 
PRODUCED FROM B & W WEB SITE 
"
advertisement,"The Introducing low gas , low'tar Fact . 
together Chances before are . Just , you've ' tar ' and never nicotine heard gas . and cigarettes mentioned L 
controversy According too . to some critics of smoking , gases are part of the 
what cut down You No we tobacco ordinary on see some , smoke people cigarette of the is mostly think gases can , gas these as do it . it Different is . critics But to lower Fact say kinds ' can tar it's ' just . and of gas as nicotine . important And .. despite to 
And and nicotine Fact Fact reduces is .: unique gas , 4 the : concentrations first 4 cigarette at with the a same revolutionary time it reduces Purite ' tar filter ' . 
Meaning you get low gas and low ' tar . Together . 
But that's not all . 
how Purite Take a makes minute this to read the first our low'tar pack . It ' smoke tells you 
with and rich facto 
king - size Tage brand as good ... as the leading 
And that's a Fact . 
780000403 
780000403 
PRODUCED FROM B & W WEB SITE 
"
